drug,original_candidate,optimized_candidate,original_score,optimized_score,delta_score,real_foreground,original_foreground,optimized_foreground,delta_foreground_abs_error,real_sharpness,original_sharpness,optimized_sharpness,delta_log_sharpness_abs_error,real_blockiness,original_blockiness,optimized_blockiness,delta_blockiness_abs_error,original_display_path,optimized_display_path
anisomycin,19,7,-0.7000554865538753,-0.2290995069825098,0.4709559795713655,0.5993461608886719,0.6838150024414062,0.6058197021484375,0.07799530029296875,0.0666294991970062,0.0948544964194297,0.0609992481768131,0.2649107884251966,0.496023565530777,0.522554874420166,0.4877626299858093,0.018270373344421387,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/morphology_aware_cpflow/images/anisomycin/candidate_019_display.png,CPFLOW/comparison_outputs/morphology_aware_cpflow_imageft/images/anisomycin/candidate_007_display.png
monastrol,23,17,-0.4098519261635179,-0.2438196411211045,0.1660322850424134,0.7861499786376953,0.7852210998535156,0.8093452453613281,-0.022266387939453125,0.0762482844293117,0.0979848578572273,0.0767184048891067,0.24467128775292565,0.4988616853952408,0.5314878821372986,0.5014309287071228,0.03005695343017578,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/morphology_aware_cpflow/images/monastrol/candidate_023_display.png,CPFLOW/comparison_outputs/morphology_aware_cpflow_imageft/images/monastrol/candidate_017_display.png
puromycin,17,11,-0.439060254017673,-0.178760250385634,0.260300003632039,0.7003211975097656,0.7058563232421875,0.6710739135742188,-0.023712158203125,0.0655151568353176,0.1019335836172103,0.066491886973381,0.42724146808209795,0.4980893284082412,0.5222500562667847,0.5016570091247559,0.02059304714202881,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/morphology_aware_cpflow/images/puromycin/candidate_017_display.png,CPFLOW/comparison_outputs/morphology_aware_cpflow_imageft/images/puromycin/candidate_011_display.png
