drug,candidate,score,raw_path,display_path,candidate_foreground,candidate_sharpness,candidate_contrast,candidate_saturation,candidate_mean_r,candidate_mean_g,candidate_mean_b,candidate_std_r,candidate_std_g,candidate_std_b,candidate_blockiness,real_ref_foreground,real_ref_sharpness,real_ref_contrast,real_ref_saturation,real_ref_mean_r,real_ref_mean_g,real_ref_mean_b,real_ref_std_r,real_ref_std_g,real_ref_std_b,real_ref_blockiness
anisomycin,0,-0.5947360731348292,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_000_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_000_display.png,0.4789276123046875,0.061220213770866394,0.9217615127563477,0.17426863312721252,0.1839800477027893,0.1919175237417221,0.12083937227725983,0.19268815219402313,0.20903445780277252,0.17283795773983002,0.49817103147506714,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,1,-2.199797932247136,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_001_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_001_display.png,0.17909622192382812,0.03157281130552292,0.9411258101463318,0.08354710042476654,0.09348712116479874,0.09530269354581833,0.07315203547477722,0.18888285756111145,0.18732154369354248,0.1360430121421814,0.5018823742866516,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,2,-1.5604078521877354,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_002_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_002_display.png,0.284637451171875,0.04101777449250221,0.9001951217651367,0.1303214579820633,0.14395788311958313,0.142312690615654,0.12833113968372345,0.20432117581367493,0.21047088503837585,0.16010451316833496,0.5028894543647766,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,3,-0.38416853622510677,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_003_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_003_display.png,0.5479507446289062,0.058027900755405426,0.8950462937355042,0.18692120909690857,0.20665407180786133,0.19212794303894043,0.11229357868432999,0.20049801468849182,0.18860706686973572,0.18167896568775177,0.4942868947982788,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,4,-2.376801475611953,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_004_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_004_display.png,0.15743637084960938,0.03213951736688614,0.9062281250953674,0.07648743689060211,0.06065366789698601,0.07724661380052567,0.06310758739709854,0.15429151058197021,0.17342360317707062,0.12782330811023712,0.48332449793815613,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,5,-1.507152120340643,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_005_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_005_display.png,0.2630805969238281,0.05029347911477089,0.9204388856887817,0.12411771714687347,0.14541320502758026,0.13995829224586487,0.1134066954255104,0.20330965518951416,0.21893657743930817,0.15031421184539795,0.490691602230072,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,6,-0.9292141116529461,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_006_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_006_display.png,0.41996002197265625,0.06247815489768982,0.9341195225715637,0.16106624901294708,0.14708423614501953,0.13862167298793793,0.07783277332782745,0.20369598269462585,0.18546096980571747,0.16331396996974945,0.5051943063735962,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,7,-0.9536218678857373,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_007_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_007_display.png,0.8102188110351562,0.055892810225486755,0.8595191836357117,0.25270402431488037,0.29342955350875854,0.25552862882614136,0.1305074542760849,0.1756507307291031,0.16513052582740784,0.18335723876953125,0.5140654444694519,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,8,-0.42948108479089275,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_008_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_008_display.png,0.520477294921875,0.06141365319490433,0.9558131098747253,0.21904899179935455,0.2021784633398056,0.21417953073978424,0.104338139295578,0.22159184515476227,0.2312423288822174,0.18319633603096008,0.5004292130470276,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,9,-0.36110388272879634,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_009_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_009_display.png,0.6074256896972656,0.04986643046140671,0.9218729734420776,0.227838397026062,0.2547636926174164,0.28941646218299866,0.14888326823711395,0.21271227300167084,0.2491748183965683,0.18620313704013824,0.4839736223220825,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,10,-0.2229578631465719,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_010_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_010_display.png,0.6243629455566406,0.05579669028520584,0.9171455502510071,0.22259846329689026,0.22416938841342926,0.24251362681388855,0.11661913245916367,0.19099530577659607,0.2121656835079193,0.17939983308315277,0.5092766284942627,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
anisomycin,11,-1.6923004229260532,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_011_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_011_display.png,0.2519569396972656,0.0404549315571785,0.9276068806648254,0.11240606009960175,0.1252467781305313,0.14005224406719208,0.10275380313396454,0.2002839744091034,0.22345806658267975,0.15036830306053162,0.5245582461357117,0.5993461608886719,0.06662949919700623,0.9252108335494995,0.23163125663995743,0.23270731419324875,0.23491361737251282,0.11240071430802345,0.19586677104234695,0.19961078464984894,0.1920841708779335,0.496023565530777
