drug,phenotype_cosine_similarity,median_relative_similarity,biology_note,nuclear_area_fraction_real,nuclear_area_fraction_generated,nuclear_area_fraction_relative_error,nucleus_to_cytoplasm_area_real,nucleus_to_cytoplasm_area_generated,nucleus_to_cytoplasm_area_relative_error,nuclear_brightness_real,nuclear_brightness_generated,nuclear_brightness_relative_error,mitochondrial_brightness_proxy_real,mitochondrial_brightness_proxy_generated,mitochondrial_brightness_proxy_relative_error,mitochondrial_enrichment_proxy_real,mitochondrial_enrichment_proxy_generated,mitochondrial_enrichment_proxy_relative_error,green_cytoplasm_brightness_real,green_cytoplasm_brightness_generated,green_cytoplasm_brightness_relative_error,red_cytoplasm_brightness_real,red_cytoplasm_brightness_generated,red_cytoplasm_brightness_relative_error,cytoplasm_to_nucleus_intensity_real,cytoplasm_to_nucleus_intensity_generated,cytoplasm_to_nucleus_intensity_relative_error,cell_area_fraction_real,cell_area_fraction_generated,cell_area_fraction_relative_error,cell_count_proxy_real,cell_count_proxy_generated,cell_count_proxy_relative_error,mean_cell_area_proxy_real,mean_cell_area_proxy_generated,mean_cell_area_proxy_relative_error,clustering_proxy_real,clustering_proxy_generated,clustering_proxy_relative_error,edge_texture_real,edge_texture_generated,edge_texture_relative_error,local_contrast_real,local_contrast_generated,local_contrast_relative_error
nystatin,0.9999913055442424,0.8865932058222004,Membrane sterol binding; membrane stress/permeability phenotype.,0.03604888916015625,0.051280975341796875,0.42252796156931666,0.18938535319583893,0.2759731406724767,0.45720183115358815,0.6979981660842896,0.6071086525917053,0.13021435828135147,0.39078548550605774,0.4027566611766815,0.030633545720296435,0.9424554583486272,1.1756379994883697,0.24741996203020886,0.31549131870269775,0.2911336123943329,0.07720538619933313,0.39078548550605774,0.4027566611766815,0.030633545720296435,0.6248899929418361,0.7188897533046262,0.15042585254791704,0.2364501953125,0.24936676025390625,0.054626769487611956,69.0,68.0,0.014492753413148502,0.0005224476689857788,0.0007541319903176654,0.44261219422524767,0.013908835018329294,0.019182058480996536,0.37910035997685093,0.04354832321405411,0.048361554741859436,0.1105236814851813,0.6039215326309204,0.6549019813537598,0.08441554333260058
puromycin,0.999999340318383,0.9258113744894383,Translation inhibition; proteotoxic stress and reduced growth/protein synthesis phenotype.,0.116180419921875,0.12560272216796875,0.08109990609883817,0.5657048443239647,0.5571776142964002,0.015073611335507405,0.5948339700698853,0.5338375568389893,0.1025434217892901,0.48420172929763794,0.45689067244529724,0.05640417783674383,1.2917857235887762,1.360134549161709,0.052910301928982155,0.3946935832500458,0.30346012115478516,0.23114951653000687,0.48420172929763794,0.45689067244529724,0.05640417783674383,0.9321813794211832,0.9068912977187485,0.027129971838920526,0.3476409912109375,0.3730430603027344,0.07306962258303185,237.0,208.0,0.12236286868201321,0.0004902127422845223,0.0006038592411898539,0.23135902048629012,0.0032796319925435034,0.005110178908237142,0.5579860587393708,0.0821005254983902,0.06681422144174576,0.18618782006607373,0.4156862795352936,0.4431372582912445,0.0660375722505606
pd-98059,0.9999987652547855,0.9029580133522969,MEK/ERK pathway inhibition; altered proliferation and cytoskeletal signalling.,0.134765625,0.17043304443359375,0.26466062672114665,0.610036782002,0.9116608038359875,0.4944349853940664,0.6522892713546753,0.5364397168159485,0.1776042961642378,0.5405451059341431,0.51036536693573,0.05583194230260537,1.2470112122013894,1.4237184333415729,0.14170448325300417,0.4966081976890564,0.40435174107551575,0.18577275057097412,0.5405451059341431,0.51036536693573,0.05583194230260537,0.9721581229402967,1.0328733135363657,0.06245396372194278,0.37277984619140625,0.3668365478515625,0.015943143003629895,210.0,258.0,0.2285714274829932,0.0006417410714261234,0.0006605931954765255,0.029330822143624202,0.0041885375976402715,0.005643639197694818,0.34731794765945584,0.059766434133052826,0.061554573476314545,0.029918288599791752,0.35686272382736206,0.3686274588108063,0.03296702409891226
hydroxyurea,0.9999948621101774,0.8127206365168006,Ribonucleotide reductase inhibition; S-phase arrest and DNA-replication stress.,0.06552886962890625,0.09760284423828125,0.48945579765393993,0.253365589193513,0.37618027474230775,0.48473117919661063,0.6793538331985474,0.5729182362556458,0.15667158271588372,0.414675235748291,0.4686695337295532,0.13020832477614372,0.93372887637341,1.3326391816026777,0.42722238553469893,0.2799937427043915,0.29507195949554443,0.053851785378241916,0.414675235748291,0.4686695337295532,0.13020832477614372,0.6428519851988458,0.8698907503854811,0.3531736966522886,0.343414306640625,0.3796539306640625,0.10552710762354373,118.0,183.0,0.5508474529589199,0.0005553294036326803,0.0005333488756169886,0.03950991601767715,0.03434143066393149,0.009259851967380835,0.7303379001327607,0.05497058480978012,0.05936172977089882,0.07988026862084317,0.6078431606292725,0.45098039507865906,0.2580641152959679
quercetin,0.999967162768651,0.8090413086078222,Polyphenol kinase/oxidative-stress modulator; mitochondrial/redox and cytoskeletal effects.,0.07229995727539062,0.05152130126953125,0.2873911603509556,0.2511519951501562,0.18260169990887432,0.2729423760218264,0.6873626708984375,0.6311814785003662,0.08173430569095705,0.4914214015007019,0.38680005073547363,0.2128949564483353,1.3300445201008806,1.5671340266678677,0.17825668594335364,0.4076732099056244,0.31187137961387634,0.2349960531325392,0.4914214015007019,0.38680005073547363,0.2128949564483353,0.8106243895247188,0.6926308176749921,0.14555869255329887,0.38057708740234375,0.3479194641113281,0.08581057179072499,139.0,89.0,0.3597122276279696,0.0005201435775188117,0.0005788910254981429,0.11272795159259273,0.020030373021099574,0.023194630940666726,0.15796510385155102,0.0707903727889061,0.055859364569187164,0.21091564736626792,0.4470588266849518,0.6235294342041016,0.3947359994918771
cyclophosphamide,0.9999980778302192,0.8997389798092764,Alkylating DNA-damage agent; genotoxic stress and growth arrest.,0.061740875244140625,0.08898544311523438,0.4412656363831335,0.205881292272964,0.3334226093488393,0.6194865797723769,0.6858396530151367,0.5612039566040039,0.18172690094003813,0.4657529592514038,0.4352252781391144,0.06554465186158784,1.1958692769189854,1.2696980018709167,0.06173639932095489,0.3889261484146118,0.3412132263183594,0.12267830181242213,0.4657529592514038,0.4352252781391144,0.06554465186158784,0.7718644668276586,0.8355783140588374,0.08254527501151279,0.37975311279296875,0.3775596618652344,0.005775976754016573,121.0,120.0,0.00826446274161601,0.0005102551673050008,0.000741545359290791,0.4523967810535767,0.01726150512688728,0.015731652577658087,0.08862285850078411,0.06673955172300339,0.0580734983086586,0.12984689503784652,0.43529412150382996,0.5098038911819458,0.17117069775720029
