drug,candidate,score,raw_path,display_path,candidate_foreground,candidate_sharpness,candidate_contrast,candidate_saturation,candidate_mean_r,candidate_mean_g,candidate_mean_b,candidate_std_r,candidate_std_g,candidate_std_b,candidate_blockiness,real_ref_foreground,real_ref_sharpness,real_ref_contrast,real_ref_saturation,real_ref_mean_r,real_ref_mean_g,real_ref_mean_b,real_ref_std_r,real_ref_std_g,real_ref_std_b,real_ref_blockiness,source_csv,foreground_abs_error,sharpness_log_abs_error,blockiness_abs_error,contrast_abs_error,saturation_abs_error
y-27632,26,-0.2135313018231438,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/y-27632/candidate_026_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/y-27632/candidate_026_display.png,0.8375244140625,0.0729911997914314,0.9184743165969848,0.2997004687786102,0.3019541501998901,0.3084548413753509,0.1283603757619857,0.1754493713378906,0.1972600370645523,0.2022417783737182,0.5067270398139954,0.8090591430664062,0.0790993645787239,0.9065394103527068,0.2847998440265655,0.2920107692480087,0.2803754210472107,0.1359843090176582,0.1790968999266624,0.1877077147364616,0.2057586163282394,0.4957741796970367,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.02846527099609375,0.08036594794378053,0.010952860116958674,0.011934906244277954,0.014900624752044678
calpeptin,0,-0.2156287705691647,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/calpeptin/candidate_000_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/calpeptin/candidate_000_display.png,0.3860015869140625,0.0563534051179885,0.8931149244308472,0.1693139970302581,0.1898781806230545,0.1706621348857879,0.12554831802845,0.2216397672891616,0.201506495475769,0.1518841832876205,0.490468293428421,0.4068794250488281,0.0608316287398338,0.9278842508792876,0.17905243486166,0.1848228499293327,0.1837387084960937,0.089127529412508,0.216680072247982,0.2043572440743446,0.1636223047971725,0.4988791346549988,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.020877838134765625,0.07646718351995968,0.008410841226577759,0.03476932644844044,0.009738437831401908
forskolin,4,-0.2168379486041821,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/forskolin/candidate_004_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/forskolin/candidate_004_display.png,0.5922660827636719,0.0627549216151237,0.9100331664085388,0.2154477089643478,0.2086346894502639,0.197746068239212,0.1138243749737739,0.1974309682846069,0.1960062682628631,0.1762208789587021,0.4998765885829925,0.6028995513916016,0.0552555844187736,0.9190492928028108,0.2387924939393997,0.2301594913005828,0.2144267708063125,0.0917152687907219,0.1876195818185806,0.1785327047109604,0.1705822125077247,0.5003778636455536,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.010633468627929688,0.12726757467965466,0.0005012750625610907,0.009016126394271962,0.02334478497505188
roscovitine,26,-0.2225576980997164,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/roscovitine/candidate_026_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/roscovitine/candidate_026_display.png,0.4142303466796875,0.0541142150759696,0.9032017588615416,0.1657790094614029,0.1761907935142517,0.1713235527276992,0.1190736144781112,0.1996156871318817,0.2123932540416717,0.1489272713661193,0.48560431599617,0.385080337524414,0.0563876703381538,0.9254153966903688,0.1559696421027183,0.1838931292295456,0.1529897898435592,0.0944769829511642,0.2046366035938263,0.1927310898900032,0.164450354874134,0.4967100620269775,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.029150009155273493,0.0411536092274579,0.011105746030807495,0.022213637828827126,0.009809367358684595
anisomycin,10,-0.2229578631465719,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_010_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/anisomycin/candidate_010_display.png,0.6243629455566406,0.0557966902852058,0.9171455502510072,0.2225984632968902,0.2241693884134292,0.2425136268138885,0.1166191324591636,0.190995305776596,0.2121656835079193,0.1793998330831527,0.5092766284942627,0.5993461608886719,0.0666294991970062,0.9252108335494996,0.2316312566399574,0.2327073141932487,0.2349136173725128,0.1124007143080234,0.1958667710423469,0.1996107846498489,0.1920841708779335,0.496023565530777,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.02501678466796875,0.17743282748604555,0.013253062963485718,0.008065283298492432,0.009032793343067197
tunicamycin,2,-0.2233817771269028,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/tunicamycin/candidate_002_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/tunicamycin/candidate_002_display.png,0.554473876953125,0.0646667778491973,0.950890839099884,0.2344056069850921,0.1746905297040939,0.2325709611177444,0.0929958075284957,0.2102298289537429,0.2269467562437057,0.1854316741228103,0.5001165270805359,0.52923583984375,0.0624949932098388,0.9403663873672484,0.2092078402638435,0.211082175374031,0.2095260247588157,0.0958076789975166,0.2048127874732017,0.1967283114790916,0.1820397675037384,0.4996701776981354,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.025238037109375,0.03416113944640835,0.0004463493824005127,0.010524451732635609,0.0251977667212486
simvastatin,24,-0.2247376018349732,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/simvastatin/candidate_024_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/simvastatin/candidate_024_display.png,0.2327194213867187,0.0416779667139053,0.8549724221229553,0.1115900054574012,0.096835047006607,0.0888125151395797,0.0832730680704116,0.1811272799968719,0.1564414948225021,0.1207415908575058,0.5147780776023865,0.2205410003662109,0.0467504374682903,0.9216207563877106,0.1103249453008174,0.1105173379182815,0.1039414033293724,0.0766476802527904,0.1927465721964836,0.1750379204750061,0.1389709413051605,0.4996341466903686,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.012178421020507785,0.1148509742686811,0.015143930912017878,0.06664833426475525,0.0012650601565837999
methotrexate,16,-0.2264872532671597,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/methotrexate/candidate_016_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/methotrexate/candidate_016_display.png,0.5649299621582031,0.0620479471981525,0.9043349623680116,0.2063854932785034,0.2190348953008651,0.2164735347032547,0.1358159184455871,0.1995902061462402,0.2130506932735443,0.166640892624855,0.5039507746696472,0.5679149627685547,0.0731912106275558,0.9236935079097748,0.2216592878103256,0.2118269205093383,0.1811802089214325,0.0973827615380287,0.1986567825078964,0.201633021235466,0.1687387153506279,0.5002807378768921,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0029850006103515625,0.16516788775057303,0.003670036792755127,0.019358545541763195,0.015273794531822205
etoposide,6,-0.2276560157215082,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_006_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_006_display.png,0.8379058837890625,0.0835308730602264,0.9172988533973694,0.3267136514186859,0.3629561066627502,0.316676527261734,0.1417101472616195,0.1978690177202224,0.2053943127393722,0.1911183297634124,0.5052139759063721,0.8184432983398438,0.0782785862684249,0.92964506149292,0.2908990383148193,0.3191419541835785,0.3014344274997711,0.1421262323856353,0.1852180212736129,0.2026017159223556,0.2141148447990417,0.4974319636821747,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.01946258544921875,0.06494221030487676,0.007782012224197388,0.012346208095550648,0.03581461310386663
aphidicolin,1,-0.2924593851919075,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/aphidicolin/candidate_001_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/aphidicolin/candidate_001_display.png,0.7158546447753906,0.0638222694396972,0.8826462030410767,0.2523038983345032,0.2861500680446625,0.2502645850181579,0.1733949780464172,0.2017914950847625,0.2196153551340103,0.1692938953638076,0.5046775341033936,0.7189579010009766,0.083481065928936,0.920189619064331,0.2605651170015335,0.27626933157444,0.2371576055884361,0.1336533725261688,0.1932975575327873,0.1999815255403518,0.1939745545387268,0.4987459778785705,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0031032562255859375,0.2685176336787262,0.0059315562248230536,0.037543416023254395,0.008261218667030334
