drug,pearson_CPFLOW_combined,pearson_MultiVCDiff_original,mse_CPFLOW_combined,mse_MultiVCDiff_original,mae_CPFLOW_combined,mae_MultiVCDiff_original,delta_pearson_cpflow_minus_multivcdiff,delta_mse_cpflow_minus_multivcdiff
mg-132,0.9821354703433798,0.26826214696521083,0.12889863550662994,2588.5615234375,0.27876001596450806,39.19556427001953,0.7138733233781689,-2588.4326248019934
doxorubicin,0.9771191161350798,0.2642626109284279,0.1662234663963318,2486.64501953125,0.31846776604652405,40.14727020263672,0.712856505206652,-2486.4787960648537
forskolin,0.9841311238093124,0.3073929386614566,0.11741266399621964,848.3873901367188,0.2694368064403534,22.868833541870117,0.6767381851478558,-848.2699774727225
colchicine,0.9487134528531804,0.273262147202982,0.6353972554206848,739.3870849609375,0.6224274039268494,21.30318832397461,0.6754513056501985,-738.7516877055168
